user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,llm_context_precision_with_reference,context_recall,synthesizer
"Кто именно утвердил это Положение о членстве, в котором говорится про Исполнительного комитета ОСОО «ФПСР»?","['2. Настоящее Положение принято в соответствии с норм ами действующего \nзаконодательства, включая Федеральный закон от 12.01.1996 № 7 -ФЗ «О  \nнекоммерческих организациях», Федеральный закон от 19.05.1995 № 82 -ФЗ «Об \nобщественных объединениях», Федеральный закон от 13.12.1996 № 150 -ФЗ «Об \nоружии», Федеральный закон от 04.12.2007 № 329-ФЗ «О физической культуре и спорте \nв Российской Федерации», иными нормативно -правовыми актами  Российской \nФедерации и Уставом Федерации. \nВ случае последующего изменения норм законодательства Российской Федерации \nнастоящее Положение действует в части, не противоречащей данным нормам. \n3. Правила настоящего Положения обязательны для всех членов Федерации. \n \nII. ЧЛЕНСТВО В ФЕДЕРАЦИИ \n \n4. Членство в Федерации является добровольным. \n5. Членство в Федерации неотчуждаемо. Осуществление прав члена Федерации не может \nбыть передано другому лицу. \n6.', '[Page 1]\n1 \n \nОБЩЕРОССИЙСКАЯ СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ \nПО РАЗВИТИЮ СТРЕЛКОВЫХ ВИДОВ СПОРТА \n«ФЕДЕРАЦИЯ ПРАКТИЧЕСКОЙ СТРЕЛЬБЫ РОССИИ» \n \nУтверждено решением \nИсполнительного комитета \nОСОО «ФПСР» \nот 22.08.2023 \n \n \n \nПОЛОЖЕНИЕ О ЧЛЕНСТВЕ В ОСОО «ФПСР» \n \n \nI. ОБЩИЕ ПОЛОЖЕНИЯ \n \n1. Настоящее Положение о членстве (далее – Положение) определяет условия и порядок \nприема в члены, исключения (выхода) из членов, порядок уплаты членских и иных \nвзносов, а также права, обязанности и ответственность членов Общероссийской \nспортивной общественной организации по развитию стрелковых видов спорта \n«Федерация практической стрельбы России» (далее – Федерация, ФПСР). \n2.', '7.4 Федерального \nзакона от 07.08.2001 № 115 -ФЗ «О противодействии легализации (отмыванию) \nденежных средств, полученных преступным путем, и финансированию терроризма», \nдо отмены такого решения;  \n\uf02d лицо, включенное в составляемые в рамках реализации полномочий, \nпредусмотренных главой VII Устава ООН, Советом Безопасности ООН или \nорганами, специально созданными решениями Совета Безопасности ООН, перечни \nорганизаций и физическ их лиц, связанных с террористическими организациями и \nтеррористами или с распространением оружия массового уничтожения. \n9. Членам Федерации - физическим лицам за особые заслуги в развитии вида спорта \n«практическая стрельба» и (или) выдающиеся спортивные дости жения по виду спорта \n«практическая стрельба» на основании решения Президента Федерации может быть \nприсвоено звание «Почетный член ОСОО « ФПСР». Член Федерации со званием \n«Почетный член ОСОО «ФПСР» освобождается от уплаты членских взносов. \n10. Учет членов Федерации организует Президент Федерации. \n \nIII.', 'п. 8 настоящего Положения); \n\uf02d невыполнение или ненадлежащее выполнение обязанностей члена ОСОО «ФПСР», \nпредусмотренных Уставом Федерации и Положением; \n\n[Page 9]\n9 \n \n\uf02d вступление в законную силу судебного акта, в соответствии с которым лицу \nзапрещена деятельность, связанная с оружием; \n\uf02d наличие двух и более спортивных дисквалификаций для спортсменов и спортивных \nсудей; \n\uf02d нарушение Устава, регламентов, п оложений или решений, принятых \nкомпетентными органами ФПСР. \n45. Поводом для вынесения Исполнительным комитетом решения об исключении из \nчленов Федерации могут являться: \n\uf02d представление Председателя регионального отделения /Руководителя \nаккредитованного РСОО; \n\uf02d заключение Дисциплинарного комитета Федерации; \n\uf02d представление Исполнительного комитета Федерации; \n\uf02d представление Президента Федерации; \n\uf02d представление Совета Корпуса спортивных судей; \n\uf02d представление Тренерского совета; \n\uf02d представление Совета Корпуса предмобилизационной подготовки. \n46.', '37. На основании решения Президента Федерации о принятии в члены Федерации \nвыдается: \n\n[Page 8]\n8 \n \n\uf02d физическому лицу – электронное удостоверение установленного образца \n(приложение № 1 к настоящему Положению), которому присваивается персональный \nидентификационный номер . Возможно  также изготовление пластикового \nудостоверения за дополнительную плату  (приложение №  2 к настоящему \nПоложению); \n\uf02d юридическому лицу – решение Президента Федерации, заверенное печатью \nФедерации и подписью Президента Федерации, с присвоением персонального \nидентификационного членского номера. \n38. Персональный идентификационный номер электронного удостоверения указывается в \nличном кабинете члена Федерации  - физического лица . В случае неоплаты членских \nвзносов в личный кабинет члена Федерации н аправляется уведомление с указанием \nсрока оплаты задолженности. В период существования задолженности в озможность \nвнесения изменений в профиль личного кабинета и совершение иных действий с \nаккаунтом заблокирована. \n39.']",Исполнительный комитет ОСОО «ФПСР» утвердил данное Положение о членстве.,Положение о членстве было утверждено решением Исполнительного комитета ОСОО «ФПСР» от 22.08.2023.,,,,,single_hop_specifc_query_synthesizer
Соответствует ли настоящее Положение требованиям Федерального закона от 19.05.1995 № 82-ФЗ «Об общественных объединениях»?,"['2. Настоящее Положение принято в соответствии с норм ами действующего \nзаконодательства, включая Федеральный закон от 12.01.1996 № 7 -ФЗ «О  \nнекоммерческих организациях», Федеральный закон от 19.05.1995 № 82 -ФЗ «Об \nобщественных объединениях», Федеральный закон от 13.12.1996 № 150 -ФЗ «Об \nоружии», Федеральный закон от 04.12.2007 № 329-ФЗ «О физической культуре и спорте \nв Российской Федерации», иными нормативно -правовыми актами  Российской \nФедерации и Уставом Федерации. \nВ случае последующего изменения норм законодательства Российской Федерации \nнастоящее Положение действует в части, не противоречащей данным нормам. \n3. Правила настоящего Положения обязательны для всех членов Федерации. \n \nII. ЧЛЕНСТВО В ФЕДЕРАЦИИ \n \n4. Членство в Федерации является добровольным. \n5. Членство в Федерации неотчуждаемо. Осуществление прав члена Федерации не может \nбыть передано другому лицу. \n6.', '10 Федерального закона от 25.06.2002 № 114 -ФЗ «О противодействии \nэкстремистской деятельности»; \n\uf02d лицо, включенное в перечень в соответствии с п. 2 ст. 6 Федерального закона от \n07.08.2001 № 115 -ФЗ «О противодействии легализаци и (отмыванию) ден ежных \nсредств, полученных преступным путем, и финансированию терроризма»;  \n\uf02d организация или физическое лицо, в отношении которых межведомственным \nкоординационным органом, осуществляющим функции по противодействию \nфинансированию терроризма, принято решение о  замораживании (блокировании) \nденежных средств или иного имущества в соответствии со ст .', 'членские и целевые взносы в порядке и \nразмере, установленном решением Конференции и настоящим Положением; \n\uf02d Выполнять решения руководящих органов Федерации; \n\uf02d Соблюдать Устав Федерации и иные регулирующие деятельность Федерации акты; \n\uf02d Воздерживаться от деятельности, противоречащей целям и задачам Федерации; \n\uf02d Не совершать действий (бездействий), нарушающих Устав Федерации, этику  \nспортивных и товарищеских взаимоотношений, подрывающих авторитет ФПСР, а \nтакже действий, наносящих репутационный и материальный ущерб Федерации; \n\uf02d Не совершать действий (бездействий), которые существенно затрудняют или делают \nневозможным достижение целей, ради которых создана Федерация; \n\uf02d Не разглашать конфиденциальную информацию о деятельности Федерации; \n\uf02d Вносить необходимые изменения в учетную запись личного кабинета члена \nФедерации в случае смены персональных и иных контактных данных; \n\uf02d Не распространять сведения, порочащие деловую репутацию Федерации, а также \nчесть, достоинство членов, работников и лиц,', 'порочащие деловую репутацию Федерации, а также \nчесть, достоинство членов, работников и лиц, входящих в ее органы управления в \nсредствах массовой информации. (данный абзац переписан в другой стилистической \nформулировке не изменяющей сути вопроса) \n19. Члены Федерации - юридические лица обязаны: \n\uf02d Своевременно уплачивать вступительные, членские и целевые взносы в порядке и \nразмере, установленным решением Конференции и настоящим Положением; \n\uf02d Выполнять решения руководящих органов Федерации; \n\uf02d Соблюдать Устав Федерации и иные регулирующие деятельность Федерации акты; \n\uf02d Воздерживаться от деятельности, противоречащей целям и задачам Федерации; \n\uf02d Не совершать действий (бездействий), нарушающих Устав Федерации, этику \nспортивных и товарищеских взаимоотно шений, а также действий, наносящих \nрепутационный и материальный ущерб Федерации; \n\uf02d Не совершать действий (бездействий), которые существенно затрудняют или делают \nневозможным достижение целей, ради которых создана Федерация;', 'Юридические лица  могут стать членами Федерации при условии, что они выражают \nсолидарность с уставными целями и задачами Федерации, и их уставы не противоречат \nУставу Федерации. \n7. Физические и юридические лица, принятые в члены Федерации до вступления в силу \nнастоящего Положения, сохраняют свое членство без прохождения процедуры \nвступления в члены Федерации, установленной настоящим Положением. \n8. Не могут быть членами Федерации л ица, круг которых определен действующим \nзаконодательством Российской Федерации или актами самой Федерации, включая, в \nтом числе: \n\uf02d лицо, содержащееся в местах лишения свободы по приговору суда;  \n\uf02d лицо, в отношении которого вступившим в законную силу решением  суда \nустановлено, что в его действиях содержатся признаки экстремистской деятельности;  \n\uf02d лицо, признанн ое судом недееспособным  в порядке, установленном гражданским \nпроцессуальным законодательством; \n\uf02d общественное объединение, деятельность которого приостановлена в соот ветствии \nсо ст .']","Да, настоящее Положение принято в соответствии с нормами Федерального закона от 19.05.1995 № 82‑ФЗ «Об общественных объединениях», поэтому оно соответствует его требованиям.","Согласно пункту 2, настоящее Положение принято в соответствии с нормами действующего законодательства, включая Федеральный закон от 19.05.1995 № 82-ФЗ «Об общественных объединениях».",,1.0000000000000002,0.9999999999,1.0,single_hop_specifc_query_synthesizer
"кто там может быть член Федерации по этому тексту, скажите по пунктам","['Юридические лица  могут стать членами Федерации при условии, что они выражают \nсолидарность с уставными целями и задачами Федерации, и их уставы не противоречат \nУставу Федерации. \n7. Физические и юридические лица, принятые в члены Федерации до вступления в силу \nнастоящего Положения, сохраняют свое членство без прохождения процедуры \nвступления в члены Федерации, установленной настоящим Положением. \n8. Не могут быть членами Федерации л ица, круг которых определен действующим \nзаконодательством Российской Федерации или актами самой Федерации, включая, в \nтом числе: \n\uf02d лицо, содержащееся в местах лишения свободы по приговору суда;  \n\uf02d лицо, в отношении которого вступившим в законную силу решением  суда \nустановлено, что в его действиях содержатся признаки экстремистской деятельности;  \n\uf02d лицо, признанн ое судом недееспособным  в порядке, установленном гражданским \nпроцессуальным законодательством; \n\uf02d общественное объединение, деятельность которого приостановлена в соот ветствии \nсо ст .', 'Членство в Федерации неотчуждаемо. Осуществление прав члена Федерации не может \nбыть передано другому лицу. \n6. Членами Федерации могут быть признающие и разделяющие цели и задачи Федерации, \nсодействующие деятельности Федерации, своевременно уплачивающие вступительный \nи членские взносы, признающие и соблюдающие Устав, р егламенты, положения и \nрешения Федерации: \n6.1. физические лица – граждане Российской Федерации, достигшие возраста 18 лет; \n6.2. юридические лица: \n\uf02d общественные объединения (региональные спортивные федерации практической \nстрельбы и иные общественные объединения, осуществляющие свою деятельность \nпреимущественно в виде спорта «практическая стрельба»); \n\n[Page 2]\n2 \n \n\uf02d спортивные клубы, независимо от их организационно -правовых форм, а также \nобъединения организаций, осуществляющи е свою деятельность в области спорта и \nразвивающие вид спорта «практическая стрельба».', 'которые существенно затрудняют или делают \nневозможным достижение целей, ради которых создана Федерация; \n\uf02d Не разглашать конфиденциальную информацию о деятельности Федерации; \n\uf02d Сообщать об изменениях учредительных документов, реквизитов и иных контактных \nданных; \n\uf02d Не распространять сведения, порочащие честь, достоинство и (или) деловую \nрепутацию Федерации, а также работников и лиц, входящих в ее органы управления в \n\n[Page 5]\n5 \n \nсредствах массовой информации. \n \nV. ПОРЯДОК ВСТУПЛЕНИЯ В ЧЛЕНЫ ФЕДЕРАЦИИ \n \n20. Физические лица, желающие вступи ть в члены Федерации (далее – кандидат в члены \nФедерации), проходят электронную процедуру подачи заявки на вступление в члены \nФедерации. \n21. Для вступления в члены Федерации кандидату в члены Федерации необходимо: \n21.1. Пройти (успешно завершить) курсы безопасного и  квалифицированного \nобращения с оружием (далее – БЕКОСО) у инструктора ФПСР (список \nинструкторов ФПСР опубликован на сайте Федерации в сети Интернет по ссылке \nhttps://ipsc.ru/).', '10. Учет членов Федерации организует Президент Федерации. \n \nIII. ПРАВА ЧЛЕНОВ ФЕДЕРАЦИИ \n \n11. Все члены Федерации пользуются равными правами в соответствии с Уставом , \nПоложением и иными нормативными актами Федерации. \n\n[Page 3]\n3 \n \n12. Права члена Федерации возникают с момента принятия решения Президе нта о \nвступлении его в Федерацию. Прекращение членства ведёт к прекращению всех прав по \nотношению к ФПСР в соответствии с действующим законодательством Российской \nФедерации. \n13. Члены Федерации - физические лица имеют право: \n\uf02d участвовать в управлении делами Федерации, избирать и быть избранными в \nруководящие и контрольно -ревизионные органы Федерации в соответствии с \nУставом Федерации и иными нормативными актами Федерации; \n\uf02d получать информацию о деятельности Федерации и знакомиться с ее бухгалтерской \nи иной документацией по письменному запросу, направляемому Президенту \nФедерации; \n\uf02d вносить предложения, касающиеся деятельности Федерации, участвовать в их \nобсуждении и реализации;', '31. Юридические лица, желающие вступить в члены Федерации, подают письменное \nзаявление на имя Президента Федерации о приеме в члены ФПСР , в котором должно \nбыть указано: полное наименование юридического лица, адрес юридического лица , \nкоды ОКВЭД, согласие с Уставом Федерации и обязательство соблюдать данный Устав \nи другие нормативные акты Федерации. \n32.']","По предоставленному документу членами Федерации могут быть:

1. **Физические лица** – граждане Российской Федерации, достигшие возраста 18 лет, которые признают и разделяют цели и задачи Федерации, содействуют её деятельности, своевременно уплачивают вступительный и членские взносы, признают и соблюдают Устав, регламенты, положения и решения Федерации.

2. **Юридические лица** – общественные объединения (региональные спортивные федерации практической стрельбы и иные общественные объединения, осуществляющие свою деятельность преимущественно в виде спорта «практическая стрельба»).

3. **Юридические лица** – спортивные клубы, независимо от их организационно‑правовых форм, а также объединения организаций, осуществляющие свою деятельность в области спорта и развивающие вид спорта «практическая стрельба».

4. Юридические лица, желающие вступить в члены Федерации, должны подать письменное заявление на имя Президента Федерации, указав полное наименование, адрес, коды ОКВЭД, согласие с Уставом Федерации и обязательство соблюдать его и другие нормативные акты Федерации.

5. Юридические лица могут стать членами только при условии, что они выражают солидарность с уставными целями и задачами Федерации и их уставы не противоречат Уставу Федерации.

6. Физические и юридические лица, принятые в члены Федерации до вступления в силу настоящего Положения, сохраняют своё членство без прохождения процедуры вступления, установленной данным Положением.","Членами Федерации могут быть признающие и разделяющие цели и задачи Федерации, содействующие деятельности Федерации, своевременно уплачивающие вступительный и членские взносы, признающие и соблюдающие Устав, регламенты, положения и решения Федерации: 6.1. физические лица – граждане Российской Федерации, достигшие возраста 18 лет; 6.2. юридические лица: общественные объединения (региональные спортивные федерации практической стрельбы и иные общественные объединения, осуществляющие свою деятельность преимущественно в виде спорта «практическая стрельба»), спортивные клубы, независимо от их организационно-правовых форм, а также объединения организаций, осуществляющие свою деятельность в области спорта и развивающие вид спорта «практическая стрельба».",1.0,0.7692132813046113,0.49999999995,1.0,single_hop_specifc_query_synthesizer
"Какиие условия должны быть соблюдены для того, чтобы юридческие лица могли стать членами Федреции, и какие лица не могут быть членами Федреции согласно Положению?","['Юридические лица  могут стать членами Федерации при условии, что они выражают \nсолидарность с уставными целями и задачами Федерации, и их уставы не противоречат \nУставу Федерации. \n7. Физические и юридические лица, принятые в члены Федерации до вступления в силу \nнастоящего Положения, сохраняют свое членство без прохождения процедуры \nвступления в члены Федерации, установленной настоящим Положением. \n8. Не могут быть членами Федерации л ица, круг которых определен действующим \nзаконодательством Российской Федерации или актами самой Федерации, включая, в \nтом числе: \n\uf02d лицо, содержащееся в местах лишения свободы по приговору суда;  \n\uf02d лицо, в отношении которого вступившим в законную силу решением  суда \nустановлено, что в его действиях содержатся признаки экстремистской деятельности;  \n\uf02d лицо, признанн ое судом недееспособным  в порядке, установленном гражданским \nпроцессуальным законодательством; \n\uf02d общественное объединение, деятельность которого приостановлена в соот ветствии \nсо ст .', 'которые существенно затрудняют или делают \nневозможным достижение целей, ради которых создана Федерация; \n\uf02d Не разглашать конфиденциальную информацию о деятельности Федерации; \n\uf02d Сообщать об изменениях учредительных документов, реквизитов и иных контактных \nданных; \n\uf02d Не распространять сведения, порочащие честь, достоинство и (или) деловую \nрепутацию Федерации, а также работников и лиц, входящих в ее органы управления в \n\n[Page 5]\n5 \n \nсредствах массовой информации. \n \nV. ПОРЯДОК ВСТУПЛЕНИЯ В ЧЛЕНЫ ФЕДЕРАЦИИ \n \n20. Физические лица, желающие вступи ть в члены Федерации (далее – кандидат в члены \nФедерации), проходят электронную процедуру подачи заявки на вступление в члены \nФедерации. \n21. Для вступления в члены Федерации кандидату в члены Федерации необходимо: \n21.1. Пройти (успешно завершить) курсы безопасного и  квалифицированного \nобращения с оружием (далее – БЕКОСО) у инструктора ФПСР (список \nинструкторов ФПСР опубликован на сайте Федерации в сети Интернет по ссылке \nhttps://ipsc.ru/).', 'Членство в Федерации неотчуждаемо. Осуществление прав члена Федерации не может \nбыть передано другому лицу. \n6. Членами Федерации могут быть признающие и разделяющие цели и задачи Федерации, \nсодействующие деятельности Федерации, своевременно уплачивающие вступительный \nи членские взносы, признающие и соблюдающие Устав, р егламенты, положения и \nрешения Федерации: \n6.1. физические лица – граждане Российской Федерации, достигшие возраста 18 лет; \n6.2. юридические лица: \n\uf02d общественные объединения (региональные спортивные федерации практической \nстрельбы и иные общественные объединения, осуществляющие свою деятельность \nпреимущественно в виде спорта «практическая стрельба»); \n\n[Page 2]\n2 \n \n\uf02d спортивные клубы, независимо от их организационно -правовых форм, а также \nобъединения организаций, осуществляющи е свою деятельность в области спорта и \nразвивающие вид спорта «практическая стрельба».', '31. Юридические лица, желающие вступить в члены Федерации, подают письменное \nзаявление на имя Президента Федерации о приеме в члены ФПСР , в котором должно \nбыть указано: полное наименование юридического лица, адрес юридического лица , \nкоды ОКВЭД, согласие с Уставом Федерации и обязательство соблюдать данный Устав \nи другие нормативные акты Федерации. \n32.', '32. Вместе с письменным заявлением юридические  лица предоставляют следующие \nдокументы: \n\uf02d Протокол о решении вступить в Федерацию уполномоченного органа юридического \nлица, к компетенции которого уставом этого юридического лица отнесено принятие \nданного решения; \n\uf02d Нотариально заверенная копия действующего устава юридического лица и \nизменений к нему; \n\uf02d Нотариально заверенная копия с видетельства о государственной регистрации  \nюридического лица; \n\uf02d Нотариально заверенная копия с видетельства о постановке на учет в налоговом \nоргане юридического лица; \n\uf02d Нотариально завер енная копия выписки из единого государственного реестра \nюридический лиц; \n\uf02d Платежное поручение об оплате вступительного и членского взносов  (членский \nвзнос необходимо оплатить на срок не менее чем за один год  по реквизитам, \nуказанным на сайте Федерации в разделе «Реквизиты» , и в размере, указанном в \nГлаве 7 настоящего Положения). \n33. Вышеуказанные документы юридическое лицо направляет непосредственно в  \nФедерацию на имя Президента Федерации. \n34.']","**Условия для вступления юридических лиц в члены Федерации**  
- Выражать солидарность с уставными целями и задачами Федерации.  
- Их устав не должен противоречить Уставу Федерации.  
- Признавать и разделять цели и задачи Федерации, содействовать её деятельности.  
- Своевременно уплачивать вступительный и членский взносы.  
- Признавать и соблюдать Устав, регламенты, положения и решения Федерации.  
- Подать письменное заявление на имя Президента Федерации с указанием: полного наименования, адреса, кодов ОКВЭД, согласия с Уставом и обязательства его соблюдать.  
- Вместе с заявлением предоставить:  
  • протокол решения уполномоченного органа о вступлении в Федерацию;  
  • нотариально заверенную копию действующего устава и изменений к нему;  
  • нотариально заверенную копию свидетельства о государственной регистрации;  
  • нотариально заверенную копию свидетельства о постановке на учет в налоговом органе;  
  • нотариально заверенную копию выписки из ЕГРЮЛ;  
  • платёжное поручение об оплате вступительного и членского взносов (вз","Юридические лица могут стать членами Федерации при условии, что они выражают солидарность с уставными целями и задачами Федерации, и их уставы не противоречат Уставу Федерации. Не могут быть членами Федерации лица, круг которых определен действующим законодательством Российской Федерации или актами самой Федерации, включая, в том числе: лицо, содержащееся в местах лишения свободы по приговору суда; лицо, в отношении которого вступившим в законную силу решением суда установлено, что в его действиях содержатся признаки экстремистской деятельности; лицо, признанное судом недееспособным в порядке, установленном гражданским процессуальным законодательством; общественное объединение, деятельность которого приостановлена в соответствии со ст.",1.0,0.7450385490515621,0.9999999999,1.0,single_hop_specifc_query_synthesizer
слыш ты там по этому Федерального закона от 25.06.2002 № 114 -ФЗ че там написано в тексте про противодействие чему там экстремистской деятельности или как оно там,"['10 Федерального закона от 25.06.2002 № 114 -ФЗ «О противодействии \nэкстремистской деятельности»; \n\uf02d лицо, включенное в перечень в соответствии с п. 2 ст. 6 Федерального закона от \n07.08.2001 № 115 -ФЗ «О противодействии легализаци и (отмыванию) ден ежных \nсредств, полученных преступным путем, и финансированию терроризма»;  \n\uf02d организация или физическое лицо, в отношении которых межведомственным \nкоординационным органом, осуществляющим функции по противодействию \nфинансированию терроризма, принято решение о  замораживании (блокировании) \nденежных средств или иного имущества в соответствии со ст .', '7.4 Федерального \nзакона от 07.08.2001 № 115 -ФЗ «О противодействии легализации (отмыванию) \nденежных средств, полученных преступным путем, и финансированию терроризма», \nдо отмены такого решения;  \n\uf02d лицо, включенное в составляемые в рамках реализации полномочий, \nпредусмотренных главой VII Устава ООН, Советом Безопасности ООН или \nорганами, специально созданными решениями Совета Безопасности ООН, перечни \nорганизаций и физическ их лиц, связанных с террористическими организациями и \nтеррористами или с распространением оружия массового уничтожения. \n9. Членам Федерации - физическим лицам за особые заслуги в развитии вида спорта \n«практическая стрельба» и (или) выдающиеся спортивные дости жения по виду спорта \n«практическая стрельба» на основании решения Президента Федерации может быть \nприсвоено звание «Почетный член ОСОО « ФПСР». Член Федерации со званием \n«Почетный член ОСОО «ФПСР» освобождается от уплаты членских взносов. \n10. Учет членов Федерации организует Президент Федерации. \n \nIII.', '11.5.2. Разъяснения. Арбитражный к омитет может потребовать от лица, \nподавшего протест, дать пояснения по предоставленным документам и может \nзадавать ему любые вопросы, относящиеся к протесту. \n11.5.3. Слушания. Л ицо, подавшее протест, м огут попросить удалиться, \nпока арбитражный комитет заслушивает дополнительные пояснения. \n11.5.4. Свидетели. Арбитражный к омитет может заслушать официальных \nлиц соревнования, других свидетелей, участвующих в процесс е рассмотрения \nапелляции. Арбитражный к омитет будет изучать все представлен ные \nдоказательства. \n11.5.5. Вопросы. Арбитражный к омитет может задавать свидетелям и \nофициальным лицам любые вопросы, относящиеся к протесту. \n11.5.6. Мнения. Члены арбитражного комитета должны воздерживаться от \nвысказывания мнений и вынесения решений во вр емя процесса рассмотрения \nпротеста. \n11.5.7. Осмотр.', '\uf02d вносить предложения, касающиеся деятельности Федерации, участвовать в их \nобсуждении и реализации; \n\uf02d участвовать в спортивных соревнованиях и мероприятиях по виду спорта \n«практическая с трельба» на территории России и других стран в соответствии с \nправилами данного вида спорта  и регламентами соответствующих спортивных \nсоревнований и мероприятий; \n\uf02d участвовать в учебно-тренировочных мероприятиях, организуемых Федерацией или \nее региональными отделениями, пользоваться спортивно -стрелковыми объектами \nФедерации; \n\uf02d в случае смены места жительства (места пребывания) встать на учет в региональное \nотделение Федерации по новому месту жительства (месту пребывания); \n\uf02d пользоваться программами лояльности партнеров Федерации; \n\uf02d оказывать содействие в организации спортивного соревнования или мероприятия; \n\uf02d выйти из членов Федерации по своему желанию. \n14.', 'Если судья уверен  \nв том, что такое вмешательство оказало значительное воздействие на спортсмена, \nон должен сообщить о случившемся г лавному с удье, который может  указать \nспортсмену перестрелять упражнение. \n8.6.4. Если во время выполнения упражнения внешнее воздействие на \nспортсмена оказал непреднамеренный физический контакт с судьей или с иным \nвнешним фактором, судья может предложить спортсмену перестрелять \nупражнение. Он должен принять или отклонить э то предложение до того, как \nузнает время и очки за эту попытку. Однако, если спортсмен в результате любого \nтакого воздействия нарушил правила безопасности, то могут быть применены \nпункты 10.4 и 10.5. \n8.6.5. В случае, если перед спортсменом в направлении в сторону мишеней \nво время выполнения упражнения появляется человек, выполнение упражнения \nдолжно быть незамедлительно прекращено, а спортсмену назначается перестрел.']","В предоставленном контексте указано, что речь идёт о Федеральном законе от 25.06.2002 № 114‑ФЗ «О противодействии экстремистской деятельности».",В предоставленном тексте упоминается Федеральный закон от 25.06.2002 № 114-ФЗ «О противодействии экстремистской деятельности».,1.0,0.4946770489144166,0.9999999999,1.0,single_hop_specifc_query_synthesizer
